num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe,total,gender
108,2,79.5,106,104,68.6,44.5,43,44,44.5,48.5,60,642.6,男
163,3,93.5,109,108,58.1,37,47,47,40.5,46.5,56,642.6,男
312,5,92.5,109,99,59.5,42,47,45,46,46.5,56,642.5,男
134,3,84.5,116,96.5,60.2,47.25,44,48,43.5,46.5,56,642.45,男
612,10,90.5,113,100,63.7,40,48,40.5,40.5,46,60,642.2,女
629,10,94,110,98,59.5,45,47,44,44,48,52,641.5,女
40,1,95.5,98,105.5,64.4,42,47,44,45.5,47.5,52,641.4,男
296,5,103,106,109.5,53.9,31,46.5,45,39,47.5,60,641.4,男
383,6,95.5,111,106.5,54.6,39.75,46,45,42.5,48.5,52,641.35,女
24,1,85,112,93.5,69.3,43.5,44.5,46.5,44,47,56,641.3,男
103,2,93,98,112.5,58.1,41.75,48,47.5,42,48,52,640.85,女
304,5,90.5,114,89.5,65.8,40.75,45,46,41,48,60,640.55,男
121,2,83.5,102,100.5,64.4,41.25,46.5,49,48.5,48,56,639.65,女
382,6,95.5,115,104.5,57.4,42.25,46.5,43.5,42.5,44.5,48,639.65,女
568,9,85,119,100.5,61.6,47,42,44.5,45.5,46.5,48,639.6,男
550,9,91,106,99.5,60.9,42.5,45.5,47.5,43.5,46.5,56,638.9,女
32,1,90,97,108.5,62.3,41.5,47.5,47,38.5,46.5,60,638.8,男
373,6,82,115,100.5,65.8,40.25,46.5,46,38,48.5,56,638.55,女
406,7,79,111,105,68.6,42.75,39,46,42.5,48,56,637.85,女
583,10,89,105,106,66.5,42,46,43,40,48,52,637.5,男
5,1,91.5,100,111,61.6,34.75,45.5,46.5,43.5,47,56,637.35,女
426,7,85.5,112,103.5,64.4,41.75,46.5,45.5,44,45.5,48,636.65,女
496,8,97,105,105,62.3,38.75,44,45.5,44.5,46.5,48,636.55,男
520,9,84.5,112,101,62.3,41.75,47.5,43,42.5,46,56,636.55,男
61,1,84.5,105,106.5,59.5,40.5,47,45.5,46.5,45,56,636,女
464,8,85.5,118,100.5,65.1,44.75,41,46,39.5,47.5,48,635.85,女
187,3,93.5,107,97.5,65.8,41.5,41.5,44.5,44.5,44,56,635.8,男
183,3,91.5,105,101,63.7,38.5,48,46,43.5,46,52,635.2,男
620,10,88.5,104,105.5,65.1,43,44,46.5,39,47,52,634.6,女
303,5,98,108,99.5,65.8,37.25,45.5,41,44,47.5,48,634.55,男
31,1,91,111,105,62.3,39,40,43,40.5,46.5,56,634.3,女
77,2,79,111,106.5,59.5,41.75,44.5,46,46,44,56,634.25,女
225,4,89,103,100.5,65.8,42.25,43,46,45.5,47,52,634.05,女
311,5,93.5,100,108,56,39.75,43,46.5,45,46,56,633.75,男
667,4,87.5,103,100,63.7,41.5,47,44,43,48,56,633.7,男
15,1,87.5,99,100,63,42,44,45.5,43,49.5,60,633.5,男
479,8,80,118,98.5,65.8,38,44,46,43,48,52,633.3,女
643,2,80.5,106,103,60.9,42.25,45,46,48,45.5,56,633.15,男
140,3,78.5,109,100,65.8,40.25,44.5,44.5,42,48.5,60,633.05,男
57,1,83.5,104,107,65.1,38.75,42,46,41.5,49,56,632.85,女
585,10,88.5,105,95.5,63.7,41.25,45.5,45.5,42.5,49,56,632.45,女
656,5,94.5,108,102,60.9,38.5,48,43.5,37.5,46,52,630.9,男
343,6,91.5,115,86.5,65.1,45.25,44.5,44,43,48,48,630.85,女
248,4,91.5,106,100,62.3,42.5,47,44.5,39,46,52,630.8,女
173,3,78,115,85,67.2,45,46,47,42.5,48.5,56,630.2,男
287,5,82.5,112,105.5,64.4,32.75,46.5,44.5,39,47,56,630.15,女
519,9,89,102,103.5,61.6,46.5,49,45.5,34,47,52,630.1,男
481,8,81,109,103.5,63,42.5,46,47.5,34,47.5,56,630,男
458,8,83.5,115,95.5,67.2,42.75,41.5,44.5,39,45,56,629.95,男
211,4,83,114,97,63,39.25,44.5,45.5,46.5,45,52,629.75,男
78,2,78.5,106,94,63,45,47,47.5,46,46.5,56,629.5,男
640,10,84.5,117,96,61.6,40.25,44,45.5,41,47.5,52,629.35,女
23,1,89,110,96.5,67.2,40,43.5,45,31.5,46.5,60,629.2,男
17,1,87.5,99,109.5,59.5,39.5,40.5,46,42.5,45,60,629,男
393,7,80,112,102.5,65.1,39.25,42.5,43.5,40,48,56,628.85,男
441,7,88,111,102.5,58.8,44.75,41,46.5,42,45.5,48,628.05,女
623,10,90.5,106,102.5,61.6,40,44.5,43.5,38.5,44.5,56,627.6,女
112,2,88.5,104,105.5,54.6,36.5,45.5,44.5,43.5,44,60,626.6,女
243,4,87.5,111,95,55.3,42.75,45.5,43.5,42,48,56,626.55,男
232,4,84.5,105,98,60.9,45,45,46,38.5,47.5,56,626.4,女
497,8,83.5,110,102,55.3,42.75,42.5,46.5,39,48.5,56,626.05,男
609,10,89,117,95,63.7,39.75,45,43,37.5,48,48,625.95,男
507,8,80.5,98,114,57.4,43,46,46.5,45.5,47,48,625.9,女
293,5,94.5,106,96.5,53.2,36.75,48,46,44.5,48,52,625.45,男
168,3,95,97,86,67.9,40,45.5,46.5,39,47.5,60,624.4,男
347,6,87.5,107,95.5,61.6,41.25,42.5,43.5,40,45.5,60,624.35,女
21,1,85.5,113,88,67.2,37.75,45.5,46,40,45,56,623.95,男
532,9,77.5,111,94,64.4,46,39.5,47,42,46.5,56,623.9,女
323,6,79,114,82.5,67.2,41.75,44.5,48.5,41,49,56,623.45,男
2,1,78,114,98.5,60.2,38.25,42,45,39,48.5,60,623.45,男
360,6,88,100,100.5,60.9,41,43,46.5,39.5,47.5,56,622.9,女
189,3,89.5,108,98.5,56.7,47,47,46.5,31,46.5,52,622.7,男
47,1,89.5,106,102,52.5,35,45,45,44,47.5,56,622.5,男
614,10,93.5,106,94.5,57.4,41.25,45,45,37.5,46,56,622.15,女
664,10,83.5,115,95.5,58.1,38.75,44,46.5,39,45.5,56,621.85,男
85,2,81.5,105,101,60.2,39,47,47,40.5,44.5,56,621.7,女
151,3,77.5,109,98,64.4,42.25,42.5,47,36.5,48.5,56,621.65,男
602,10,84,111,102.5,64.4,38.25,41,44.5,40.5,43.5,52,621.65,男
289,5,86.5,105,96,62.3,39.75,43,46.5,43,47.5,52,621.55,女
200,4,84.5,102,101.5,64.4,36.25,46,47,40.5,47,52,621.15,男
448,7,90.5,96,103,57.4,37.75,46.5,46.5,40.5,47,56,621.15,男
417,7,90,100,99,60.2,39.25,42.5,43.5,43.5,47,56,620.95,男
403,7,82.5,111,92,66.5,41.75,44.5,42,40,44.5,56,620.75,女
663,1,83.5,97,105.5,62.3,40.25,42.5,44.5,41,44,60,620.55,女
419,7,91,106,94,56.7,39,45.5,47,39,46,56,620.2,男
188,3,91,97,96.5,62.3,38.75,46,44.5,43,45,56,620.05,女
33,1,89,90,109.5,57.4,47,43.5,46,38.5,46.5,52,619.4,女
109,2,83,112,106,50.4,36,45,44,43,44,56,619.4,女
652,5,83,110,98.5,61.6,43,42.5,43.5,42.5,42.5,52,619.1,男
235,4,93.5,86,101.5,62.3,38.75,45,47.5,41.5,47,56,619.05,男
646,6,96,100,93,62.3,40.75,45,46,38,46,52,619.05,男
321,6,78.5,116,99.5,56,35.5,47,43.5,40,46.5,56,618.5,女
349,6,89,98,94.5,61.6,37.25,45.5,44,43.5,49,56,618.35,男
563,9,87.5,112,95.5,61.6,39.5,42.5,45,40.5,46,48,618.1,男
391,7,82.5,96,106,56.7,41.75,41.5,45.5,39,49,60,617.95,男
433,7,88.5,97,100.5,56.7,43.25,47,44.5,45.5,47,48,617.95,男
69,2,78,110,94.5,58.8,39.25,45,46,43,47,56,617.55,男
648,9,78.5,114,92.5,65.1,40.25,41,41,42,47,56,617.35,女
334,6,85,113,89,67.2,38.25,40.5,45.5,39.5,43,56,616.95,女
260,5,76,111,97.5,60.9,39.75,46,44.5,42,47,52,616.65,男
